,qid,question_text,target
781152,990588f6dfebf5a8161e,"Why is Trump in trouble for the ""shithole"" remark when it's only Democrats who claim he did it?",1
147077,1cc35afd2b752c94cde6,Would I have a chance of getting an internship in the U.S. Senate if I have a 2.96 GPA?,0
690610,8742ebb59f819cbcf308,"Do students at schools like Princeton, Columbia, Yale, Harvard and Stanford wear designer brands? How do less wealthy students react?",0
173444,21eac90fbe362155ea06,Where can I get quick notifications about UPSC 2018?,0
27301,0559366f2e08fc9e8432,"How is the job security right now of BTA, joining from TCS with 2.5 years of experience, down the line in Deloitte USI (consulting)?",0
429423,5427da1c8aa7df8f489b,What is best/optimal way to transfer 40 million euro to U.S. or offshore account from Turkey?,0
997445,c37363778ef5ef1f85e3,How do you tell if a plant has been propagated or grown from seed?,0
383454,4b25fc0984035d76bf62,What is that you lost and what is that you got?,0
799995,9cc1e52c7fa06cf3b31b,Why is it that when you cut a liberal he only bleeds venom?,1
72703,0e40b4c4bc7f5aaecb60,What is the procedure to take admission in MBBS IPU Delhi?,0
820132,a0b2db8f3c1e7200950d,What is linear system?,0
662966,81d9098b880fb2790714,Why do Indians want a free Tibet when Tibetans are richer than Indians?,0
877966,ac034cdbecb9f4a7d8be,Is India really a democratic country and federal country if how?,0
1010084,c5ed008df53d06f63218,"My girlfriend is hot tempered at threatens to part with me anytime, what can I do to avoid this?",0
260801,330e252bebcc0a78abd6,What is the office timing for government civil junior engineer?,0
203201,27b673ddf3768f2dcf83,What are the hazards of Mn2O7 (manganese heptoxide)?,0
34843,06d15c9fa5fe426ca723,Is it wrong to spend money on expensive food when people die of hunger?,0
907187,b1c19bd4887a9eb905d0,What are the important topics to be studied in communication system?,0
976313,bf47a75b96bbbd5e017d,What is the psychological implications of biosexuality?,0
891628,aeae742a636d34408062,How effective is Bigelow green tea for weight loss?,0
907459,b1cf77fe28d675659cb4,How are advertisements put on the ground (grass surface) of a cricket stadium?,0
498280,618dab74c4c9101acb31,How can retail individuals be investors in a VC firm (specific to projects)?,0
968408,bdbd611ee06950bc34a2,Why should I care about the opinions of strangers?,0
200062,271b92084eefa9d4750d,How can you treat a headache and ringing in your ears?,0
732904,8f8b3df7e17cc2bcb8d2,"While sitting in a moving train, if we throw a ball upwards, why does it still come back to our hands instead of falling behind? Will inertia not work on the ball? How will the ball keep moving with the same velocity as the train?",0
423846,5315533f85d1483102d6,What is it like growing up in Ghana?,0
642890,7dea71148c7563dd8007,Why does my dog have his paws red?,0
616282,78ae20873cded6ba8547,Is SBI bank open tommorrow?,0
220264,2b18ebe30cc6b1e75acb,How do you let someone know you understand what they are going through?,0
354310,4571aa4baf27792c120b,Which are the short- and long-time consequences of the giant iceberg's breaking?,0
898454,b0091713da7e5af7f024,I got 545 in GATE CS 2017. Where should I join?,0
153749,1e12f48c93ec374782cd,How can I count the calories in a serving of tuna casserole without soup?,0
187113,24996f52ff7f19b12fe0,What is the current salwar trend in India?,0
652199,7fbfe3af7a12260d856e,Can I leave my gf because she is unwilling to change?,0
723031,8d8d7a5a5b40692e89fb,Is Jennifer Aniston a man?,0
688437,86d7f508f2f4964bf7ec,What is the strongest weapon you can buy in India?,0
525109,66cbe203f954361d5f06,Which are centrally funded and HRD ministry managed IIIT colleges of the country?,0
567985,6f4b0bf8734635e62a8e,How can I get a Master scholarship in Europe?,0
816996,a016d379cc2db68caee1,Why is acceleration due to gravity is more on new moon day?,0
701669,89637bf9bc33307bfb69,Can you give few examples where speed and direction simultaneously change?,0
142891,1bf75654e1ba4a55695c,"If I put a quantity of shampoo and water on a spray bottle and spray it in my hair, will my hair get cleaned?",0
393920,4d2c23eb3f43ac2cd3f9,Should I be upset if a female friend gave my BF an expensive Christmas present?,0
1034141,caa51fad2225e66b6edf,What is the most exciting thing that happened in your life this year?,0
